URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://hl7.org/fhir/sid/icd-10,2.1.1,retired,"2.16.840.1.113883.6.3",Icd10,ICD-10,"International Classification of Diseases revision 10 (ICD 10)","ValueSet/2.16.840.1.114222.4.11.7933"
http://hl7.org/fhir/us/bfdr/CodeSystem/CodeSystem-edit-flags,2.0.0-Ballot,draft,,EditFlagsCS,Birth Edit Flags,"This code system contains codes to represent edit flags specific to BFDR. Additional edit flag codes are located in [CodeSystemEditFlagsVitalRecords](https://hl7.org/fhir/us/vr-common-library/2024Jan/CodeSystem-CodeSystem-vr-edit-flags.html)","ValueSet/ValueSet-estimate-of-gestation-edit-flags,ConceptMap/BirthWeightEditFlagsCM,ConceptMap/NumberPreviousCesareansEditFlagsCM,ValueSet/ValueSet-number-previous-cesareans-edit-flags,ValueSet/ValueSet-birth-weight-edit-flags,ConceptMap/EstimateOfGestationEditFlagsCM"
http://hl7.org/fhir/us/bfdr/CodeSystem/CodeSystem-local-bfdr-codes,2.0.0-Ballot,draft,,LocalBFDRCodesCS,Local BFDR Codes,"Local Codes for concepts in BFDR that lack an appropriate LOINC or SCT code","ValueSet/ValueSet-fetal-death-cause-or-condition,ValueSet/ValueSet-informant-relationship-to-mother,ConceptMap/FetalDeathCauseOrConditionCM,ConceptMap/BirthDeliveryOccurredCM,ValueSet/ValueSet-birth-delivery-occurred,ValueSet/ValueSet-location-types"
http://hl7.org/fhir/us/vr-common-library/CodeSystem/CodeSystem-country-code-vr,2.0.0,active,,CodeSystemCountryCodeVitalRecords,Country Codes Vital Records,"2 Letter Country Codes from GEC and ISO 3166-1","ValueSet/ValueSet-residence-country-vr,ValueSet/ValueSet-birthplace-country-vr"
http://hl7.org/fhir/us/vr-common-library/CodeSystem/CodeSystem-us-states-territories-vr,2.0.0,active,,CodeSystemUSStatesTerritoriesVitalRecords,US States and Territories,"Surrogate for usps.com codesystem.  IG Publisher is not happy with that codesystem.","ValueSet/ValueSet-states-territories-provinces-vr,ValueSet/ValueSet-usstates-vr,ValueSet/ValueSet-usterritories-vr"
http://hl7.org/fhir/us/vr-common-library/CodeSystem/CodeSystem-vr-edit-flags,2.0.0,active,,CodeSystemEditFlagsVitalRecords,Birth and Death Edit Flags Vital Records,"This code system contains codes to represent all edit flags","ValueSet/ValueSet-estimate-of-gestation-edit-flags,ConceptMap/BirthWeightEditFlagsCM,ConceptMap/PregnancyReportEditFlagsCM,ConceptMap/NumberPreviousCesareansEditFlagsCM,ValueSet/ValueSet-number-previous-cesareans-edit-flags,ValueSet/ValueSet-birth-weight-edit-flags,ConceptMap/EstimateOfGestationEditFlagsCM,ValueSet/ValueSet-pregnancy-report-edit-flags"
http://hl7.org/fhir/us/vr-common-library/CodeSystem/codesystem-ije-vr,2.0.0,active,,CodeSystemIJEVitalRecords,Placeholder Code System for IJE in Vital Records,"IJE Code System Placeholder is needed to provide a URL upon which to anchor concept maps.","ConceptMap/InfectionsDuringPregnancyLiveBirthCM,ConceptMap/BirthAttendantTitlesCM,ConceptMap/BirthWeightEditFlagsCM,ConceptMap/DeliveryRoutesCM,ConceptMap/FetalPresentationCM,ConceptMap/NewbornCongenitalAnomaliesCM,ConceptMap/NumberPreviousCesareansEditFlagsCM,ConceptMap/BirthAndFetalDeathFinancialClassCM,ConceptMap/FetalDeathTimePointsCM,ConceptMap/FetalDeathCauseOrConditionCM,ConceptMap/BirthDeliveryOccurredCM,ConceptMap/HistologicalPlacentalExaminationCM,ConceptMap/PregnancyReportEditFlagsCM,ConceptMap/EstimateOfGestationEditFlagsCM"
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/ValueSet-apgar-timing,ValueSet/cigarette-smoking-before-during-pregnancy"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/ValueSet-obstetric-procedure-outcome,ConceptMap/InfectionsDuringPregnancyLiveBirthCM,ConceptMap/BirthAttendantTitlesCM,ValueSet/ValueSet-histological-placental-examination,ValueSet/ValueSet-birth-attendant-titles-vr,ConceptMap/DeliveryRoutesCM,ConceptMap/FetalPresentationCM,ConceptMap/NewbornCongenitalAnomaliesCM,ValueSet/ValueSet-fetal-presentations,ValueSet/ValueSet-birth-attendant-titles,ValueSet/ValueSet-infections-during-pregnancy-live-birth,ValueSet/ValueSet-fetal-presentations-max,ValueSet/ValueSet-birth-delivery-occurred,ValueSet/ValueSet-fetal-remains-disposition-method,ConceptMap/FetalDeathTimePointsCM,ValueSet/ValueSet-fetal-death-cause-or-condition,ConceptMap/FetalDeathCauseOrConditionCM,ConceptMap/BirthDeliveryOccurredCM,ConceptMap/HistologicalPlacentalExaminationCM,ValueSet/ValueSet-apgar-timing,ValueSet/ValueSet-delivery-routes,ValueSet/ValueSet-newborn-congenital-anomalies,ValueSet/ValueSet-fetal-death-time-points"
http://terminology.hl7.org/CodeSystem/v2-0136,2.9,active,"2.16.840.1.113883.18.347",v2.0136,v2 Y/N Indicator,"FHIR Value set/code system definition for HL7 v2 table 0136 ( Y/N Indicator)","ValueSet/ValueSet-yes-no-not-applicable-vr,ValueSet/ValueSet-yes-no-unknown-vr"
http://terminology.hl7.org/CodeSystem/v2-0360,2.1.0,active,"2.16.840.1.113883.18.220",DegreeLicenseCertificate,degreeLicenseCertificate,"Code system of concepts specifying an educational degree (e.g., MD).  Used in the CNN datatype (names and identifiers of clinicians) in Version 2 messaging.  Used in HL7 Version 2.x messaging in the CNN segment; note that in releases of HL7 prior to 2.3.1, was also used in person names (XPN), but this use was deprecated, then withdrawn in 2.7.","ValueSet/ValueSet-education-level-vr"
http://terminology.hl7.org/CodeSystem/v3-AdministrativeGender,3.0.0,active,"2.16.840.1.113883.5.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for adminstrative purposes (as opposed to clinical gender)","ValueSet/ValueSet-sex-assigned-at-birth-vr"
http://terminology.hl7.org/CodeSystem/v3-EducationLevel,3.0.0,active,"2.16.840.1.113883.5.1077",EducationLevel,Education Level,"Years of education that a person has completed","ValueSet/ValueSet-education-level-vr"
http://terminology.hl7.org/CodeSystem/v3-NullFlavor,3.0.0,active,"2.16.840.1.113883.5.1008",NullFlavor,NullFlavor,"A collection of codes specifying why a valid value is not present.","ConceptMap/BirthAttendantTitlesCM,ValueSet/ValueSet-birth-attendant-titles-vr,ValueSet/ValueSet-yes-no-unknown-vr,ConceptMap/FetalPresentationCM,ValueSet/ValueSet-education-level-vr,ValueSet/ValueSet-fetal-presentations,ValueSet/ValueSet-birth-attendant-titles,ValueSet/ValueSet-infections-during-pregnancy-live-birth,ValueSet/ValueSet-birth-delivery-occurred,ValueSet/ValueSet-sex-assigned-at-birth-vr,ValueSet/ValueSet-fetal-remains-disposition-method,ConceptMap/FetalDeathTimePointsCM,ValueSet/ValueSet-fetal-death-cause-or-condition,ValueSet/ValueSet-states-territories-provinces-vr,ConceptMap/FetalDeathCauseOrConditionCM,ConceptMap/BirthDeliveryOccurredCM,ValueSet/ValueSet-yes-no-not-applicable-vr,ValueSet/ValueSet-newborn-congenital-anomalies,ValueSet/ValueSet-fetal-death-time-points"
